N f1e0 f1e4 f2 f3 
1 1.5655077775678095e-05 0.5511643503798337 2.0129199453332454e-05 0.007852595668950357
2 1.2092357226656247e-08 0.017724538443331155 0.0006962582270293732 0.0016643420229911499
4 1.2858103470847482e-11 0.017241077159642817 0.00010396234306166113 1.088618084565951e-11
8 1.2420620087993939e-14 0.0027536110480309572 4.398803285198326e-05 1.454392162258955e-14
16 4.440892098500626e-16 0.0032889926302248317 4.431471056549352e-05 1.6930901125533637e-14
32 9.506284648352903e-16 0.0003977511330462355 4.017077447951048e-5 2.7144952952085077e-14
